date,intensive cumulative
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,0
2020-02-19,0
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,0
2020-02-25,0
2020-02-26,0
2020-02-27,0
2020-02-28,0
2020-02-29,0
2020-03-01,0
2020-03-02,0
2020-03-03,0
2020-03-04,0
2020-03-05,0
2020-03-06,1
2020-03-07,2
2020-03-08,3
2020-03-09,3
2020-03-10,5
2020-03-11,6
2020-03-12,6
2020-03-13,8
2020-03-14,14
2020-03-15,19
2020-03-16,24
2020-03-17,27
2020-03-18,42
2020-03-19,50
2020-03-20,67
2020-03-21,80
2020-03-22,107
2020-03-23,144
2020-03-24,176
2020-03-25,207
2020-03-26,247
2020-03-27,276
2020-03-28,304
2020-03-29,345
2020-03-30,374
2020-03-31,408
2020-04-01,456
2020-04-02,503
2020-04-03,542
2020-04-04,578
2020-04-05,622
2020-04-06,666
2020-04-07,711
2020-04-08,758
2020-04-09,794
2020-04-10,830
2020-04-11,875
2020-04-12,911
2020-04-13,954
2020-04-14,995
2020-04-15,1027
2020-04-16,1060
2020-04-17,1099
2020-04-18,1128
2020-04-19,1161
2020-04-20,1189
2020-04-21,1223
2020-04-22,1272
2020-04-23,1299
2020-04-24,1345
2020-04-25,1373
2020-04-26,1399
2020-04-27,1427
2020-04-28,1459
2020-04-29,1484
2020-04-30,1517
2020-05-01,1532
2020-05-02,1560
2020-05-03,1587
2020-05-04,1612
2020-05-05,1632
2020-05-06,1658
2020-05-07,1686
2020-05-08,1712
2020-05-09,1726
2020-05-10,1743
2020-05-11,1758
2020-05-12,1774
2020-05-13,1793
2020-05-14,1808
2020-05-15,1829
2020-05-16,1847
2020-05-17,1867
2020-05-18,1890
2020-05-19,1903
2020-05-20,1917
2020-05-21,1930
2020-05-22,1945
2020-05-23,1961
2020-05-24,1978
2020-05-25,2006
2020-05-26,2020
2020-05-27,2035
2020-05-28,2054
2020-05-29,2067
2020-05-30,2086
2020-05-31,2100
2020-06-01,2120
2020-06-02,2135
2020-06-03,2153
2020-06-04,2169
2020-06-05,2189
2020-06-06,2209
2020-06-07,2223
2020-06-08,2239
2020-06-09,2255
2020-06-10,2264
2020-06-11,2276
2020-06-12,2288
2020-06-13,2302
2020-06-14,2314
2020-06-15,2327
2020-06-16,2336
2020-06-17,2349
2020-06-18,2362
2020-06-19,2370
2020-06-20,2376
2020-06-21,2388
2020-06-22,2403
2020-06-23,2410
2020-06-24,2416
2020-06-25,2426
2020-06-26,2431
2020-06-27,2436
2020-06-28,2444
2020-06-29,2448
2020-06-30,2453
2020-07-01,2459
2020-07-02,2469
2020-07-03,2472
2020-07-04,2473
2020-07-05,2478
2020-07-06,2480
2020-07-07,2482
2020-07-08,2483
2020-07-09,2485
2020-07-10,2487
2020-07-11,2489
2020-07-12,2492
2020-07-13,2495
2020-07-14,2497
2020-07-15,2497
2020-07-16,2501
2020-07-17,2504
2020-07-18,2504
2020-07-19,2506
2020-07-20,2509
2020-07-21,2514
2020-07-22,2515
2020-07-23,2516
2020-07-24,2517
2020-07-25,2517
2020-07-26,2518
2020-07-27,2519
2020-07-28,2519
2020-07-29,2521
2020-07-30,2521
2020-07-31,2522
2020-08-01,2525
2020-08-02,2529
2020-08-03,2530
2020-08-04,2531
2020-08-05,2534
2020-08-06,2536
2020-08-07,2538
2020-08-08,2543
2020-08-09,2545
2020-08-10,2546
2020-08-11,2549
2020-08-12,2551
2020-08-13,2555
2020-08-14,2555
2020-08-15,2557
2020-08-16,2558
2020-08-17,2559
2020-08-18,2561
2020-08-19,2563
2020-08-20,2564
2020-08-21,2564
2020-08-22,2565
2020-08-23,2566
2020-08-24,2569
2020-08-25,2570
2020-08-26,2571
2020-08-27,2572
2020-08-28,2572
2020-08-29,2572
2020-08-30,2573
2020-08-31,2573
2020-09-01,2574
2020-09-02,2577
2020-09-03,2580
2020-09-04,2580
2020-09-05,2581
2020-09-06,2581
2020-09-07,2581
2020-09-08,2581
2020-09-09,2582
2020-09-10,2582
2020-09-11,2584
2020-09-12,2588
2020-09-13,2589
2020-09-14,2590
2020-09-15,2592
2020-09-16,2593
2020-09-17,2593
2020-09-18,2594
2020-09-19,2596
2020-09-20,2596
2020-09-21,2596
2020-09-22,2598
2020-09-23,2601
2020-09-24,2603
2020-09-25,2604
2020-09-26,2604
2020-09-27,2604
2020-09-28,2607
2020-09-29,2607
2020-09-30,2611
2020-10-01,2614
2020-10-02,2614
2020-10-03,2617
2020-10-04,2618
2020-10-05,2623
2020-10-06,2625
2020-10-07,2628
2020-10-08,2631
2020-10-09,2634
2020-10-10,2639
2020-10-11,2640
2020-10-12,2643
2020-10-13,2646
2020-10-14,2650
2020-10-15,2651
2020-10-16,2653
2020-10-17,2654
2020-10-18,2659
2020-10-19,2663
2020-10-20,2665
2020-10-21,2669
2020-10-22,2678
2020-10-23,2685
2020-10-24,2689
2020-10-25,2696
2020-10-26,2701
2020-10-27,2711
2020-10-28,2723
2020-10-29,2729
2020-10-30,2739
2020-10-31,2746
2020-11-01,2755
2020-11-02,2775
2020-11-03,2789
2020-11-04,2802
2020-11-05,2815
2020-11-06,2832
2020-11-07,2848
2020-11-08,2864
2020-11-09,2876
2020-11-10,2885
2020-11-11,2903
2020-11-12,2916
2020-11-13,2946
2020-11-14,2967
2020-11-15,2985
2020-11-16,3007
2020-11-17,3031
2020-11-18,3051
2020-11-19,3073
2020-11-20,3089
2020-11-21,3108
2020-11-22,3137
2020-11-23,3161
2020-11-24,3190
2020-11-25,3214
2020-11-26,3242
2020-11-27,3257
2020-11-28,3279
2020-11-29,3306
2020-11-30,3328
2020-12-01,3348
2020-12-02,3389
2020-12-03,3412
2020-12-04,3430
2020-12-05,3448
2020-12-06,3473
2020-12-07,3500
2020-12-08,3520
2020-12-09,3542
2020-12-10,3574
2020-12-11,3599
2020-12-12,3616
2020-12-13,3638
2020-12-14,3666
2020-12-15,3698
2020-12-16,3722
2020-12-17,3749
2020-12-18,3778
2020-12-19,3800
2020-12-20,3824
2020-12-21,3853
2020-12-22,3888
2020-12-23,3909
2020-12-24,3927
2020-12-25,3956
2020-12-26,3990
2020-12-27,4022
2020-12-28,4058
2020-12-29,4098
2020-12-30,4125
2020-12-31,4158
2021-01-01,4190
2021-01-02,4206
2021-01-03,4240
2021-01-04,4259
2021-01-05,4288
2021-01-06,4307
2021-01-07,4314
