Parameters,Countries,Values
Recovery rate,China,0.025534912
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.013602429
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.015794828
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.015375676
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.016768884
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021315448
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021788297
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021638285
Recovery rate,US,0.25
Recovery rate,Sweden,0.0
Recovery rate,China,0.022573869
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.021857631
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.011672447
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.035969917
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.036552027
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.025729863
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.027153102
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.031124983
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.032405177
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.032223027
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.038449974
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.012585499
Recovery rate,US,0.181818182
Recovery rate,Sweden,0.0
Recovery rate,China,0.076911808
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.009448697
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.038489979
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.055026093
Recovery rate,US,0.090909091
Recovery rate,Sweden,0.0
Recovery rate,China,0.051884504
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.063374848
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.080211537
Recovery rate,US,0.090909091
Recovery rate,Sweden,0.0
Recovery rate,China,0.076314401
Recovery rate,US,0.1
Recovery rate,Sweden,0.0
Recovery rate,China,0.077340789
Recovery rate,US,0.0
Recovery rate,Sweden,0.0
Recovery rate,China,0.078342598
Recovery rate,US,0.208333333
Recovery rate,Sweden,0.0
Recovery rate,China,0.081222195
Recovery rate,US,0.023809524
Recovery rate,Sweden,0.0
Recovery rate,China,0.086626038
Recovery rate,US,0.066666667
Recovery rate,Sweden,0.0
Recovery rate,China,0.084774834
Recovery rate,US,0.011235955
Recovery rate,Sweden,0.0
Recovery rate,China,0.066627031
Recovery rate,US,0.012121212
Recovery rate,Sweden,0.0
Recovery rate,China,0.068475234
Recovery rate,US,0.013888889
Recovery rate,Sweden,0.0
Recovery rate,China,0.084705989
Recovery rate,US,0.01055409
Recovery rate,Sweden,0.0
Recovery rate,China,0.070764691
Recovery rate,US,0.00203666
Recovery rate,Sweden,0.0
Recovery rate,China,0.073575239
Recovery rate,US,0.012389381
Recovery rate,Sweden,0.003067485
Recovery rate,China,0.0845335
Recovery rate,US,0.006702413
Recovery rate,Sweden,0.0
Recovery rate,China,0.078679573
Recovery rate,US,0.012658228
Recovery rate,Sweden,0.001615509
Recovery rate,China,0.087690962
Recovery rate,US,0.005225343
Recovery rate,Sweden,0.00130039
Recovery rate,China,0.108851058
Recovery rate,US,0.003246753
Recovery rate,Sweden,0.002173913
Recovery rate,China,0.112751567
Recovery rate,US,0.004126547
Recovery rate,Sweden,0.002022245
Recovery rate,China,0.084113883
Recovery rate,US,0.010223642
Recovery rate,Sweden,0.00094697
Recovery rate,China,0.090954977
Recovery rate,US,0.00788609
Recovery rate,Sweden,0.005272408
Recovery rate,China,0.107198228
Recovery rate,US,0.023105942
Recovery rate,Sweden,0.005595524
Recovery rate,China,0.097211942
Recovery rate,US,0.009918846
Recovery rate,Sweden,0.006479482
Recovery rate,China,0.099701574
Recovery rate,US,0.009715319
Recovery rate,Sweden,0.005252791
Recovery rate,China,0.088694102
Recovery rate,US,0.006558721
Recovery rate,Sweden,0.006489676
Recovery rate,China,0.084020036
Recovery rate,US,0.004412402
Recovery rate,Sweden,0.006047279
Recovery rate,China,0.077944473
Recovery rate,US,0.00548371
Recovery rate,Sweden,0.010903427
Recovery rate,China,0.087430684
Recovery rate,US,0.009103998
Recovery rate,Sweden,0.010541447
Recovery rate,China,0.098807157
Recovery rate,US,0.006125104
Recovery rate,Sweden,0.013507625
Recovery rate,China,0.089941343
Recovery rate,US,0.010912018
Recovery rate,Sweden,0.012412723
Recovery rate,China,0.126218097
Recovery rate,US,0.008421428
Recovery rate,Sweden,0.012358757
Recovery rate,China,0.098685906
Recovery rate,US,0.008202739
Recovery rate,Sweden,0.01201771
Recovery rate,China,0.135277778
Recovery rate,US,0.018068304
Recovery rate,Sweden,0.013142523
Recovery rate,China,0.106613103
Recovery rate,US,0.026710457
Recovery rate,Sweden,0.013118338
Recovery rate,China,0.095719582
Recovery rate,US,0.015836698
Recovery rate,Sweden,0.013161162
Recovery rate,China,0.074529667
Recovery rate,US,0.01504934
Recovery rate,Sweden,0.015733873
Recovery rate,China,0.062878788
Recovery rate,US,0.009657247
Recovery rate,Sweden,0.016443988
Recovery rate,China,0.078192534
Recovery rate,US,0.008807246
Recovery rate,Sweden,0.013111069
Recovery rate,China,0.078350515
Recovery rate,US,0.024063735
Recovery rate,Sweden,0.014480409
Recovery rate,China,0.116453463
Recovery rate,US,0.014800284
Recovery rate,Sweden,0.014653207
Recovery rate,China,0.050921435
Recovery rate,US,0.012109267
Recovery rate,Sweden,0.013141427
Recovery rate,China,0.04950495
Recovery rate,US,0.013649831
Recovery rate,Sweden,0.017171868
Recovery rate,China,0.080587937
Recovery rate,US,0.01051106
Recovery rate,Sweden,0.011748634
Recovery rate,China,0.05984252
Recovery rate,US,0.01009616
Recovery rate,Sweden,0.01140829
Recovery rate,China,0.060589812
Recovery rate,US,0.012901902
Recovery rate,Sweden,0.01219801
Recovery rate,China,0.049171271
Recovery rate,US,0.009978297
Recovery rate,Sweden,0.011028994
Recovery rate,China,0.044035674
Recovery rate,US,0.00725853
Recovery rate,Sweden,0.00934785
Recovery rate,China,0.046321526
Recovery rate,US,0.024370337
Recovery rate,Sweden,0.009607264
Recovery rate,China,0.088026244
Recovery rate,US,0.012805408
Recovery rate,Sweden,0.01171318
Recovery rate,China,0.063600227
Recovery rate,US,0.012657118
Recovery rate,Sweden,0.010901591
Recovery rate,China,0.052972337
Recovery rate,US,0.008425532
Recovery rate,Sweden,0.007681499
Recovery rate,China,0.266304348
Recovery rate,US,0.010027335
Recovery rate,Sweden,0.007667618
Recovery rate,China,0.039440204
Recovery rate,US,0.013380151
Recovery rate,Sweden,0.007446268
Recovery rate,China,0.049446975
Recovery rate,US,0.01165533
Recovery rate,Sweden,0.006850432
Recovery rate,China,0.037187289
Recovery rate,US,0.006380943
Recovery rate,Sweden,0.004933949
Recovery rate,China,0.037604457
Recovery rate,US,0.007938149
Recovery rate,Sweden,0.005939067
Recovery rate,China,0.043723554
Recovery rate,US,0.00653297
Recovery rate,Sweden,0.006325855
Recovery rate,China,0.088986142
Recovery rate,US,0.007282963
Recovery rate,Sweden,0.006253953
Recovery rate,China,0.099604743
Recovery rate,US,0.027870549
Recovery rate,Sweden,0.004899329
Recovery rate,China,0.057192374
Recovery rate,US,0.003913337
Recovery rate,Sweden,0.004805844
Recovery rate,China,0.093806922
Recovery rate,US,0.010030735
Recovery rate,Sweden,0.00456136
Recovery rate,China,0.097194389
Recovery rate,US,0.007261579
Recovery rate,Sweden,0.005052061
Recovery rate,China,0.05292172
Recovery rate,US,0.008116924
Recovery rate,Sweden,0.005026328
Recovery rate,China,0.059023837
Recovery rate,US,0.008616153
Recovery rate,Sweden,0.004490501
Recovery rate,China,0.058823529
Recovery rate,US,0.041121418
Recovery rate,Sweden,0.004311774
Recovery rate,China,0.06281407
Recovery rate,US,0.013893313
Recovery rate,Sweden,0.003914839
Recovery rate,China,0.017356475
Recovery rate,US,0.014788768
Recovery rate,Sweden,0.003925468
Recovery rate,China,0.133152174
Recovery rate,US,0.006559682
Recovery rate,Sweden,0.004345577
Recovery rate,China,0.167962675
Recovery rate,US,0.009115867
Recovery rate,Sweden,0.003690983
Recovery rate,China,0.145251397
Recovery rate,US,0.005254736
Recovery rate,Sweden,0.003666315
Recovery rate,China,0.127982646
Recovery rate,US,0.002594585
Recovery rate,Sweden,0.003903391
Recovery rate,China,0.118811881
Recovery rate,US,0.007242311
Recovery rate,Sweden,0.002835405
Recovery rate,China,0.04432133
Recovery rate,US,0.005738855
Recovery rate,Sweden,0.003152412
Recovery rate,China,0.387283237
Recovery rate,US,0.014859263
Recovery rate,Sweden,0.003286114
Recovery rate,China,0.17699115
Recovery rate,US,0.004437815
Recovery rate,Sweden,0.002788185
Recovery rate,China,0.150485437
Recovery rate,US,0.016905557
Recovery rate,Sweden,0.002632942
Recovery rate,China,0.136363636
Recovery rate,US,-0.000797418
Recovery rate,Sweden,0.002122061
Recovery rate,China,0.150943396
Recovery rate,US,0.013984595
Recovery rate,Sweden,0.001895656
Recovery rate,China,0.106382979
Recovery rate,US,0.004455309
Recovery rate,Sweden,0.002327448
Recovery rate,China,0.152671756
Recovery rate,US,0.005495954
Recovery rate,Sweden,0.001919912
Recovery rate,China,0.108333333
Recovery rate,US,0.017014534
Recovery rate,Sweden,0.002025916
Recovery rate,China,0.115044248
Recovery rate,US,0.004167451
Recovery rate,Sweden,0.002304844
Recovery rate,China,0.036363636
Recovery rate,US,0.010700744
Recovery rate,Sweden,0.00150015
Recovery rate,China,0.0
Recovery rate,US,0.006764195
Recovery rate,Sweden,0.001995934
Recovery rate,China,0.0
Recovery rate,US,0.005580852
Recovery rate,Sweden,0.001951713
Recovery rate,China,0.0
Recovery rate,US,0.004542128
Recovery rate,Sweden,0.001970305
Recovery rate,China,0.191304348
Recovery rate,US,0.044510673
Recovery rate,Sweden,0.001932634
Recovery rate,China,0.027027027
Recovery rate,US,0.010554283
Recovery rate,Sweden,0.001493956
Recovery rate,China,0.072072072
Recovery rate,US,0.00522771
Recovery rate,Sweden,0.001408876
Recovery rate,China,0.078947368
Recovery rate,US,0.010964119
Recovery rate,Sweden,0.000933987
Recovery rate,China,0.053571429
Recovery rate,US,0.005385909
Recovery rate,Sweden,0.001281167
Recovery rate,China,0.08411215
Recovery rate,US,0.006740224
Recovery rate,Sweden,0.001284192
Recovery rate,China,0.03960396
Recovery rate,US,0.00796657
Recovery rate,Sweden,0.001253604
Recovery rate,China,0.113402062
Recovery rate,US,0.006217948
Recovery rate,Sweden,0.00119478
Recovery rate,China,0.038834951
Recovery rate,US,0.008829933
Recovery rate,Sweden,0.001348274
Recovery rate,China,0.028846154
Recovery rate,US,0.023107245
Recovery rate,Sweden,0.001184729
Recovery rate,China,0.075630252
Recovery rate,US,0.011449916
Recovery rate,Sweden,0.00108862
Recovery rate,China,0.016949153
Recovery rate,US,0.005349226
Recovery rate,Sweden,0.000751467
Recovery rate,China,0.032520325
Recovery rate,US,0.012975801
Recovery rate,Sweden,0.001268535
Recovery rate,China,0.093220339
Recovery rate,US,0.005338625
Recovery rate,Sweden,0.001041809
Recovery rate,China,0.042372881
Recovery rate,US,0.005931326
Recovery rate,Sweden,0.000827196
Recovery rate,China,0.033613445
Recovery rate,US,0.007579386
Recovery rate,Sweden,0.000855122
Recovery rate,China,0.080645161
Recovery rate,US,0.004555732
Recovery rate,Sweden,0.000965913
Recovery rate,China,0.084033613
Recovery rate,US,0.009577906
Recovery rate,Sweden,0.000829876
Recovery rate,China,0.061946903
Recovery rate,US,0.005466417
Recovery rate,Sweden,0.000989878
Recovery rate,China,0.04587156
Recovery rate,US,0.00713811
Recovery rate,Sweden,0.000871565
Recovery rate,China,0.069565217
Recovery rate,US,0.005661716
Recovery rate,Sweden,0.000702477
Recovery rate,China,0.070175439
Recovery rate,US,0.005798894
Recovery rate,Sweden,0.000750512
Recovery rate,China,0.025423729
Recovery rate,US,0.007231237
Recovery rate,Sweden,0.000596369
Recovery rate,China,0.040462428
Recovery rate,US,0.003956583
Recovery rate,Sweden,0.000669706
Recovery rate,China,0.03255814
Recovery rate,US,0.010570685
Recovery rate,Sweden,0.00059988
Recovery rate,China,0.015936255
Recovery rate,US,0.005647597
Recovery rate,Sweden,0.000697203
Recovery rate,China,0.058419244
Recovery rate,US,0.006592077
Recovery rate,Sweden,0.000597729
Recovery rate,China,0.016129032
Recovery rate,US,0.005263562
Recovery rate,Sweden,0.000580639
Recovery rate,China,0.0
Recovery rate,US,0.005628104
Recovery rate,Sweden,0.000564071
Recovery rate,China,0.058651026
Recovery rate,US,0.007613987
Recovery rate,Sweden,0.00039927
Recovery rate,China,0.002631579
Recovery rate,US,0.003289008
Recovery rate,Sweden,0.000394166
Recovery rate,China,0.030150754
Recovery rate,US,0.012048704
Recovery rate,Sweden,0.000466618
Recovery rate,China,0.020547945
Recovery rate,US,0.005304444
Recovery rate,Sweden,0.000404769
Recovery rate,China,0.015283843
Recovery rate,US,0.005959689
Recovery rate,Sweden,0.000431329
Recovery rate,China,0.023354565
Recovery rate,US,0.004975498
Recovery rate,Sweden,0.000209366
Recovery rate,China,0.016393443
Recovery rate,US,0.004834621
Recovery rate,Sweden,0.000238969
Recovery rate,China,0.021825397
Recovery rate,US,0.005400513
Recovery rate,Sweden,0.000368053
Recovery rate,China,0.035225049
Recovery rate,US,0.00361631
Recovery rate,Sweden,0.000297462
Recovery rate,China,0.019723866
Recovery rate,US,0.01178087
Recovery rate,Sweden,0.000328332
Recovery rate,China,0.025
Recovery rate,US,0.009159411
Recovery rate,Sweden,0.00027588
Recovery rate,China,0.03515625
Recovery rate,US,0.005636884
Recovery rate,Sweden,0.00024035
Recovery rate,China,0.028571429
Recovery rate,US,0.028881177
Recovery rate,Sweden,0.000126827
Recovery rate,China,0.028625954
Recovery rate,US,0.004974158
Recovery rate,Sweden,0.000235261
Recovery rate,China,0.050290135
Recovery rate,US,0.055715719
Recovery rate,Sweden,0.000139658
Recovery rate,China,0.023529412
Recovery rate,US,0.007029703
Recovery rate,Sweden,0.000246898
Recovery rate,China,0.013671875
Recovery rate,US,0.009597036
Recovery rate,Sweden,0.000184323
Recovery rate,China,0.055449331
Recovery rate,US,0.007216736
Recovery rate,Sweden,0.000168345
Recovery rate,China,0.091954023
