,China,US,Sweden
Recovery rate,0.025534912,0,0
Recovery rate,0.013602429,0,0
Recovery rate,0.015794828,0,0
Recovery rate,0.015375676,0,0
Recovery rate,0.016768884,0,0
Recovery rate,0.021315448,0,0
Recovery rate,0.021788297,0,0
Recovery rate,0.021638285,0.25,0
Recovery rate,0.022573869,0,0
Recovery rate,0.021857631,0,0
Recovery rate,0.011672447,0,0
Recovery rate,0.035969917,0,0
Recovery rate,0.036552027,0,0
Recovery rate,0.025729863,0,0
Recovery rate,0.027153102,0,0
Recovery rate,0.031124983,0,0
Recovery rate,0.032405177,0,0
Recovery rate,0.032223027,0,0
Recovery rate,0.038449974,0,0
Recovery rate,0.012585499,0.181818182,0
Recovery rate,0.076911808,0,0
Recovery rate,0.009448697,0,0
Recovery rate,0.038489979,0,0
Recovery rate,0.055026093,0.090909091,0
Recovery rate,0.051884504,0,0
Recovery rate,0.063374848,0,0
Recovery rate,0.080211537,0.090909091,0
Recovery rate,0.076314401,0.1,0
Recovery rate,0.077340789,0,0
Recovery rate,0.078342598,0.208333333,0
Recovery rate,0.081222195,0.023809524,0
Recovery rate,0.086626038,0.066666667,0
Recovery rate,0.084774834,0.011235955,0
Recovery rate,0.066627031,0.012121212,0
Recovery rate,0.068475234,0.013888889,0
Recovery rate,0.084705989,0.01055409,0
Recovery rate,0.070764691,0.00203666,0
Recovery rate,0.073575239,0.012389381,0.003067485
Recovery rate,0.0845335,0.006702413,0
Recovery rate,0.078679573,0.012658228,0.001615509
Recovery rate,0.087690962,0.005225343,0.00130039
Recovery rate,0.108851058,0.003246753,0.002173913
Recovery rate,0.112751567,0.004126547,0.002022245
Recovery rate,0.084113883,0.010223642,0.00094697
Recovery rate,0.090954977,0.00788609,0.005272408
Recovery rate,0.107198228,0.023105942,0.005595524
Recovery rate,0.097211942,0.009918846,0.006479482
Recovery rate,0.099701574,0.009715319,0.005252791
Recovery rate,0.088694102,0.006558721,0.006489676
Recovery rate,0.084020036,0.004412402,0.006047279
Recovery rate,0.077944473,0.00548371,0.010903427
Recovery rate,0.087430684,0.009103998,0.010541447
Recovery rate,0.098807157,0.006125104,0.013507625
Recovery rate,0.089941343,0.010912018,0.012412723
Recovery rate,0.126218097,0.008421428,0.012358757
Recovery rate,0.098685906,0.008202739,0.01201771
Recovery rate,0.135277778,0.018068304,0.013142523
Recovery rate,0.106613103,0.026710457,0.013118338
Recovery rate,0.095719582,0.015836698,0.013161162
Recovery rate,0.074529667,0.01504934,0.015733873
Recovery rate,0.062878788,0.009657247,0.016443988
Recovery rate,0.078192534,0.008807246,0.013111069
Recovery rate,0.078350515,0.024063735,0.014480409
Recovery rate,0.116453463,0.014800284,0.014653207
Recovery rate,0.050921435,0.012109267,0.013141427
Recovery rate,0.04950495,0.013649831,0.017171868
Recovery rate,0.080587937,0.01051106,0.011748634
Recovery rate,0.05984252,0.01009616,0.01140829
Recovery rate,0.060589812,0.012901902,0.01219801
Recovery rate,0.049171271,0.009978297,0.011028994
Recovery rate,0.044035674,0.00725853,0.00934785
Recovery rate,0.046321526,0.024370337,0.009607264
Recovery rate,0.088026244,0.012805408,0.01171318
Recovery rate,0.063600227,0.012657118,0.010901591
Recovery rate,0.052972337,0.008425532,0.007681499
Recovery rate,0.266304348,0.010027335,0.007667618
Recovery rate,0.039440204,0.013380151,0.007446268
Recovery rate,0.049446975,0.01165533,0.006850432
Recovery rate,0.037187289,0.006380943,0.004933949
Recovery rate,0.037604457,0.007938149,0.005939067
Recovery rate,0.043723554,0.00653297,0.006325855
Recovery rate,0.088986142,0.007282963,0.006253953
Recovery rate,0.099604743,0.027870549,0.004899329
Recovery rate,0.057192374,0.003913337,0.004805844
Recovery rate,0.093806922,0.010030735,0.00456136
Recovery rate,0.097194389,0.007261579,0.005052061
Recovery rate,0.05292172,0.008116924,0.005026328
Recovery rate,0.059023837,0.008616153,0.004490501
Recovery rate,0.058823529,0.041121418,0.004311774
Recovery rate,0.06281407,0.013893313,0.003914839
Recovery rate,0.017356475,0.014788768,0.003925468
Recovery rate,0.133152174,0.006559682,0.004345577
Recovery rate,0.167962675,0.009115867,0.003690983
Recovery rate,0.145251397,0.005254736,0.003666315
Recovery rate,0.127982646,0.002594585,0.003903391
Recovery rate,0.118811881,0.007242311,0.002835405
Recovery rate,0.04432133,0.005738855,0.003152412
Recovery rate,0.387283237,0.014859263,0.003286114
Recovery rate,0.17699115,0.004437815,0.002788185
Recovery rate,0.150485437,0.016905557,0.002632942
Recovery rate,0.136363636,-0.000797418,0.002122061
Recovery rate,0.150943396,0.013984595,0.001895656
Recovery rate,0.106382979,0.004455309,0.002327448
Recovery rate,0.152671756,0.005495954,0.001919912
Recovery rate,0.108333333,0.017014534,0.002025916
Recovery rate,0.115044248,0.004167451,0.002304844
Recovery rate,0.036363636,0.010700744,0.00150015
Recovery rate,0,0.006764195,0.001995934
Recovery rate,0,0.005580852,0.001951713
Recovery rate,0,0.004542128,0.001970305
Recovery rate,0.191304348,0.044510673,0.001932634
Recovery rate,0.027027027,0.010554283,0.001493956
Recovery rate,0.072072072,0.00522771,0.001408876
Recovery rate,0.078947368,0.010964119,0.000933987
Recovery rate,0.053571429,0.005385909,0.001281167
Recovery rate,0.08411215,0.006740224,0.001284192
Recovery rate,0.03960396,0.00796657,0.001253604
Recovery rate,0.113402062,0.006217948,0.00119478
Recovery rate,0.038834951,0.008829933,0.001348274
Recovery rate,0.028846154,0.023107245,0.001184729
Recovery rate,0.075630252,0.011449916,0.00108862
Recovery rate,0.016949153,0.005349226,0.000751467
Recovery rate,0.032520325,0.012975801,0.001268535
Recovery rate,0.093220339,0.005338625,0.001041809
Recovery rate,0.042372881,0.005931326,0.000827196
Recovery rate,0.033613445,0.007579386,0.000855122
Recovery rate,0.080645161,0.004555732,0.000965913
Recovery rate,0.084033613,0.009577906,0.000829876
Recovery rate,0.061946903,0.005466417,0.000989878
Recovery rate,0.04587156,0.00713811,0.000871565
Recovery rate,0.069565217,0.005661716,0.000702477
Recovery rate,0.070175439,0.005798894,0.000750512
Recovery rate,0.025423729,0.007231237,0.000596369
Recovery rate,0.040462428,0.003956583,0.000669706
Recovery rate,0.03255814,0.010570685,0.00059988
Recovery rate,0.015936255,0.005647597,0.000697203
Recovery rate,0.058419244,0.006592077,0.000597729
Recovery rate,0.016129032,0.005263562,0.000580639
Recovery rate,0,0.005628104,0.000564071
Recovery rate,0.058651026,0.007613987,0.00039927
Recovery rate,0.002631579,0.003289008,0.000394166
Recovery rate,0.030150754,0.012048704,0.000466618
Recovery rate,0.020547945,0.005304444,0.000404769
Recovery rate,0.015283843,0.005959689,0.000431329
Recovery rate,0.023354565,0.004975498,0.000209366
Recovery rate,0.016393443,0.004834621,0.000238969
Recovery rate,0.021825397,0.005400513,0.000368053
Recovery rate,0.035225049,0.00361631,0.000297462
Recovery rate,0.019723866,0.01178087,0.000328332
Recovery rate,0.025,0.009159411,0.00027588
Recovery rate,0.03515625,0.005636884,0.00024035
Recovery rate,0.028571429,0.028881177,0.000126827
Recovery rate,0.028625954,0.004974158,0.000235261
Recovery rate,0.050290135,0.055715719,0.000139658
Recovery rate,0.023529412,0.007029703,0.000246898
Recovery rate,0.013671875,0.009597036,0.000184323
Recovery rate,0.055449331,0.007216736,0.000168345
Recovery rate,0.091954023,0.009280237,0.000228627
Recovery rate,0,0.008476397,0.000211701
Recovery rate,0,0.007405517,0.000165533
Recovery rate,0.134790528,0.006349442,0.000134694
Recovery rate,0.055956679,0.005310044,0.000208572
Recovery rate,0,0.012059578,0.000119021
Recovery rate,0.107205624,0.008250477,8.91E-05
Recovery rate,0.064829822,0.012381669,0.000118193
Recovery rate,0.055276382,0.006894544,0.000117687
Recovery rate,0.041860465,0.007461836,0.000161191
Recovery rate,0.041847042,0.006835307,0.000145921
Recovery rate,0.066176471,0.003631084,0.000101863
Recovery rate,0.034722222,0.011828968,0.00010171
Recovery rate,0.054054054,0.009118352,0.000101527
Recovery rate,0.046728972,0.011701599,8.67E-05
Recovery rate,0.053254438,0.00901154,5.76E-05
Recovery rate,0.040946315,0.011115012,1.44E-05
Recovery rate,0.057803468,0.00692149,2.86E-05
Recovery rate,0.037878788,0.006906286,8.56E-05
Recovery rate,0.007539411,0.010451588,5.71E-05
Recovery rate,0.031306442,0.011010009,1.43E-05
Recovery rate,0.042951542,0.012483575,0
Recovery rate,0.04436512,0.009014636,4.24E-05
Recovery rate,0.050697674,0.008650951,4.22E-05
Recovery rate,0.057091074,0.008375084,1.40E-05
Recovery rate,0.050155348,0.002410263,6.98E-05
Recovery rate,0.042645779,0.014930832,2.79E-05
Recovery rate,0.054019015,0.005565581,1.39E-05
Recovery rate,0.080139373,0.016349738,6.93E-05
Recovery rate,0.079677708,0.007145307,4.13E-05
Recovery rate,0.090036563,0.008497488,2.74E-05
Recovery rate,0.085741355,0.006457765,5.46E-05
Recovery rate,0.079624135,0.004486582,2.72E-05
Recovery rate,0.063067608,0.004491127,5.43E-05
Recovery rate,0.1,0.013927891,4.06E-05
Recovery rate,0.107945205,0.012404954,6.73E-05
Recovery rate,0.101457726,0.006718837,0
Recovery rate,0.093292683,0.006981941,1.33E-05
Recovery rate,0.098908157,0.006959919,0
Recovery rate,0.0626703,0.004497218,2.64E-05
Recovery rate,0.05638587,0.009732639,7.93E-05
Recovery rate,0.087285223,0.009993479,1.32E-05
Recovery rate,0.115133961,0.008294933,1.31E-05
Recovery rate,0.079681275,0.006742057,1.31E-05
Recovery rate,0.108786611,0.005553244,1.30E-05
Recovery rate,0.119389587,0.006165793,0
Recovery rate,0.062806673,0.003645461,0
Recovery rate,0.070281124,0.006673911,0
Recovery rate,0.116965227,0.009676183,0
Recovery rate,0.096330275,0.009053954,0
Recovery rate,0.104878049,0.005061698,5.13E-05
Recovery rate,0.113874346,0.005035759,1.28E-05
Recovery rate,0.097281831,0.006407859,0
Recovery rate,0.095744681,0.003796179,0
Recovery rate,0.07814992,0.008631593,-0.000166374
Recovery rate,0.098827471,0.0051733,6.36E-05
Recovery rate,0.082585278,0.008203783,8.89E-05
Recovery rate,0.080979284,0.009840561,0.000152455
Recovery rate,0.086372361,0.004728455,3.80E-05
Recovery rate,0.110441767,0.005237812,0
Recovery rate,0.082608696,0.003793293,0
Recovery rate,0.063736264,0.004736735,2.53E-05
Recovery rate,0.073991031,0.006897327,1.25E-05
Recovery rate,0.059241706,0.007826618,5.01E-05
Recovery rate,0.117073171,0.004486333,1.25E-05
Recovery rate,0.051413882,0.004101979,3.73E-05
Recovery rate,0.07751938,0.004570341,0
Recovery rate,0.084210526,0.004450819,0
Recovery rate,0.042440318,0.006094607,0
Recovery rate,0.075718016,0.005631558,6.20E-05
Recovery rate,0.07027027,0.008066873,0.000110438
Recovery rate,0.071823204,0.004002888,4.90E-05
Recovery rate,0.063660477,0.004335724,1.22E-05
Recovery rate,0.059459459,0.00547174,0
Recovery rate,0.035040431,0.003380654,0
Recovery rate,0.045801527,0.006407627,0
Recovery rate,0.046511628,0.007932755,6.07E-05
Recovery rate,0.07751938,0.006029035,7.18E-05
Recovery rate,0.051771117,0.010065772,2.38E-05
Recovery rate,0.05785124,0.004448758,2.37E-05
Recovery rate,0.04735376,0.005833398,0
Recovery rate,0.058823529,0.003916027,0
Recovery rate,0.046831956,0.006930845,0
Recovery rate,0.067934783,0.004730942,0.000117588
Recovery rate,0.101092896,0.006805702,3.47E-05
Recovery rate,0.054913295,0.004985909,0
Recovery rate,0.042979943,0.00324938,2.28E-05
Recovery rate,0.048433048,0.005810631,0
Recovery rate,0.053672316,0.003454489,0
Recovery rate,0.027777778,0.005576562,0
Recovery rate,0.069705094,0.004174408,-0.000135765
Recovery rate,0.060773481,0.011189289,9.97E-05
Recovery rate,0.066666667,0.005156226,0
Recovery rate,0.076923077,0.004305405,2.18E-05
Recovery rate,0.045822102,0.005570647,0
Recovery rate,0.028871391,0.00282435,0
Recovery rate,0.051980198,0.007163602,0
Recovery rate,0.042394015,0.004165512,5.40E-05
Recovery rate,0.031553398,0.007139306,8.44E-05
Recovery rate,0.056097561,0.004940855,3.14E-05
Recovery rate,0.044917258,0.004595979,8.29E-05
Recovery rate,0.068396226,0.00514207,0
Recovery rate,0.065882353,0.003006941,0
Recovery rate,0.050724638,0.008290975,0
Recovery rate,0.077283372,0.004967598,4.11E-05
Recovery rate,0.063414634,0.006169769,6.97E-05
Recovery rate,0.073891626,0.006375521,9.86E-06
Recovery rate,0.051851852,0.004819483,2.91E-05
Recovery rate,0.057279236,0.006570755,9.55E-06
Recovery rate,0.06746988,0.003357227,6.69E-05
Recovery rate,0.03902439,0.007622076,9.56E-05
Recovery rate,0.031100478,0.005609892,7.65E-05
Recovery rate,0.039823009,0.006210013,3.64E-05
Recovery rate,0.068322981,0.007262642,2.68E-05
Recovery rate,0.060669456,0.004863992,5.21E-05
Recovery rate,0.049079755,0.006659559,4.22E-05
Recovery rate,0.054878049,0.003496401,2.53E-05
Recovery rate,0.054435484,0.008346666,5.91E-05
Recovery rate,0.04389313,0.005849279,1.69E-05
Recovery rate,0.056925996,0.00715864,6.22E-05
Recovery rate,0.045454545,0.007054876,3.80E-05
Recovery rate,0.067641682,0.005333948,0.000147317
Recovery rate,0.078324226,0.007230386,0
Recovery rate,0.046554935,0.00521438,0
Recovery rate,0.043243243,0.008097481,0
Recovery rate,0.051878354,0.005728314,0.000249219
Recovery rate,0.053956835,0.006010618,0.000160069
Recovery rate,0.066189624,0.008886795,0.000249027
Recovery rate,0.054249548,0.007121388,0.000254171
Recovery rate,0.045703839,0.008447088,0
Recovery rate,0.053406998,0.004119739,0
Recovery rate,0.082089552,0.010571332,0
Recovery rate,0.09922179,0.007458506,0.000356327
Recovery rate,0.069327731,0.008575993,0.000515536
Recovery rate,0.058189655,0.008847718,9.99E-05
Recovery rate,0.051502146,0.006894737,0.000338957
Recovery rate,0.037190083,0.010069535,0
Recovery rate,0.043726236,-0.0003075,0
Recovery rate,0.041237113,0.014346757,0
Recovery rate,0.047473201,0.008590618,0.000465602
Recovery rate,0.057991513,0.018392532,0.000251073
Recovery rate,0.015544041,0.004715157,0.000299162
Recovery rate,0.043735225,0.009935605,0.00025682
Recovery rate,0.035281147,0.009671625,0
Recovery rate,0.030927835,0.005335835,0
Recovery rate,0.017707363,0.010154913,0
Recovery rate,0.029772329,0.01011182,0.000494823
Recovery rate,0.042535446,0.01185372,0.000685147
Recovery rate,0.037066246,0.010090735,0.000135038
Recovery rate,0.043641836,0.008082853,0.000225873
Recovery rate,0.039341917,0.012410976,0
Recovery rate,0.049247606,0.005628505,0
Recovery rate,0.048666667,0.01024595,0
Recovery rate,0.051973684,0.008290416,0.000489249
Recovery rate,0.065035415,0.011556771,0.000330428
Recovery rate,0.079719388,0.010554473,0.00019496
Recovery rate,0.068789809,0.016297963,0.000523948
Recovery rate,0.083279949,0.011959414,0
Recovery rate,0.06496063,0.005502199,0
